username;course1;role1
acjs928;GEN_CASS_LIBRESEMP_2015-16;student
abrz092;GEN_CASS_LIBRESEMP_2015-16;student
abrz602;GEN_CASS_LIBRESEMP_2015-16;student
absb487;GEN_CASS_LIBRESEMP_2015-16;student
abrz117;GEN_CASS_LIBRESEMP_2015-16;student
absb453;GEN_CASS_LIBRESEMP_2015-16;student
absw960;GEN_CASS_LIBRESEMP_2015-16;student
abrz112;GEN_CASS_LIBRESEMP_2015-16;student
absz860;GEN_CASS_LIBRESEMP_2015-16;student
abrz740;GEN_CASS_LIBRESEMP_2015-16;student
absf313;GEN_CASS_LIBRESEMP_2015-16;student
abry955;GEN_CASS_LIBRESEMP_2015-16;student
abry768;GEN_CASS_LIBRESEMP_2015-16;student
abrz442;GEN_CASS_LIBRESEMP_2015-16;student
abrz071;GEN_CASS_LIBRESEMP_2015-16;student
abry991;GEN_CASS_LIBRESEMP_2015-16;student
absw925;GEN_CASS_LIBRESEMP_2015-16;student
absm072;GEN_CASS_LIBRESEMP_2015-16;student
absf343;GEN_CASS_LIBRESEMP_2015-16;student
absb464;GEN_CASS_LIBRESEMP_2015-16;student
abrz456;GEN_CASS_LIBRESEMP_2015-16;student
absb479;GEN_CASS_LIBRESEMP_2015-16;student
acnn967;GEN_CASS_LIBRESEMP_2015-16;student
abrf485;GEN_CASS_LIBRESEMP_2015-16;student
abrz718;GEN_CASS_LIBRESEMP_2015-16;student
abrz076;GEN_CASS_LIBRESEMP_2015-16;student
acjw222;GEN_CASS_LIBRESEMP_2015-16;student
abry828;GEN_CASS_LIBRESEMP_2015-16;student
abrz099;GEN_CASS_LIBRESEMP_2015-16;student
abrz335;GEN_CASS_LIBRESEMP_2015-16;student
abry898;GEN_CASS_LIBRESEMP_2015-16;student
abrz558;GEN_CASS_LIBRESEMP_2015-16;student
abrz396;GEN_CASS_LIBRESEMP_2015-16;student
acnb855;GEN_CASS_LIBRESEMP_2015-16;student
absd613;GEN_CASS_LIBRESEMP_2015-16;student
abpm328;GEN_CASS_LIBRESEMP_2015-16;student
acnf135;GEN_CASS_LIBRESEMP_2015-16;student
abtb554;GEN_CASS_LIBRESEMP_2015-16;student
absf352;GEN_CASS_LIBRESEMP_2015-16;student
absf364;GEN_CASS_LIBRESEMP_2015-16;student
absk085;GEN_CASS_LIBRESEMP_2015-16;student
absz142;GEN_CASS_LIBRESEMP_2015-16;student
acnp489;GEN_CASS_LIBRESEMP_2015-16;student
acng729;GEN_CASS_LIBRESEMP_2015-16;student
acnh172;GEN_CASS_LIBRESEMP_2015-16;student
acjw095;GEN_CASS_LIBRESEMP_2015-16;student
acjx193;GEN_CASS_LIBRESEMP_2015-16;student
ackc056;GEN_CASS_LIBRESEMP_2015-16;student
acka106;GEN_CASS_LIBRESEMP_2015-16;student
acjw206;GEN_CASS_LIBRESEMP_2015-16;student
acjx220;GEN_CASS_LIBRESEMP_2015-16;student
acjz273;GEN_CASS_LIBRESEMP_2015-16;student
acjt499;GEN_CASS_LIBRESEMP_2015-16;student
acjw177;GEN_CASS_LIBRESEMP_2015-16;student
acjw328;GEN_CASS_LIBRESEMP_2015-16;student
acnb869;GEN_CASS_LIBRESEMP_2015-16;student
acka062;GEN_CASS_LIBRESEMP_2015-16;student
acjw089;GEN_CASS_LIBRESEMP_2015-16;student
acjw185;GEN_CASS_LIBRESEMP_2015-16;student
acjw085;GEN_CASS_LIBRESEMP_2015-16;student
ackb904;GEN_CASS_LIBRESEMP_2015-16;student
acka047;GEN_CASS_LIBRESEMP_2015-16;student
acjw276;GEN_CASS_LIBRESEMP_2015-16;student
acjw071;GEN_CASS_LIBRESEMP_2015-16;student
acjw182;GEN_CASS_LIBRESEMP_2015-16;student
acjw112;GEN_CASS_LIBRESEMP_2015-16;student
acka818;GEN_CASS_LIBRESEMP_2015-16;student
acjx249;GEN_CASS_LIBRESEMP_2015-16;student
acjw082;GEN_CASS_LIBRESEMP_2015-16;student
acjw231;GEN_CASS_LIBRESEMP_2015-16;student
